Start Latitude,Start Longitude,Property Damage (USD),Diameter (m)
37.7853,-101.9059,0.1,45.72
47.3047,-102.1931,60000.1,91.44
47.24,-102.19,0.1,274.32
41.8986,-72.1347,30000.1,205.74
44.66,-98.94,0.1,9.144
43.6738,-99.644,0.1,18.288
43.54,-94.67,0.1,9.144
42.6457,-93.7965,0.1,73.152
42.5791,-93.7789,0.1,73.152
42.5806,-93.7128,0.1,54.864
41.7394,-93.5732,2000.1,45.72
41.7246,-93.4951,35000.1,118.872
41.7008,-93.5037,250000.1,91.44
42.1727,-93.6592,0.1,36.576
42.4887,-93.656,0.1,54.864
41.6293,-93.334,0.1,54.864
42.1789,-93.4856,0.1,54.864
41.573,-93.2186,0.1,73.152
41.9202,-93.3002,0.1,36.576
41.5286,-93.0643,8000.1,457.2
41.4752,-92.9801,0.1,36.576
41.4602,-92.9371,120080000.1,731.52
42.1045,-93.1332,0.1,36.576
41.4188,-92.8571,0.1,54.864
42.0829,-93.0275,200000000.1,1097.28
41.2285,-92.6102,0.1,54.864
40.803,-91.9699,0.1,45.72
40.7482,-91.9567,0.1,68.58
38.07,-92.87,0.1,68.58
41.3823,-86.2197,0.1,45.72
44.0624,-89.2517,0.1,9.144
38.6336,-86.1095,50000.1,68.58
38.1527,-86.1501,600000.1,228.6
40.7281,-85.718,0.1,22.86
40.1954,-85.6115,30000.1,27.432
25.7608,-80.3623,5000.1,18.288
36.9614,-85.5931,125000.1,54.864
37.39,-85.9443,200000.1,54.864
32.6488,-85.3701,0.1,457.2
40.7074,-75.6665,0.1,18.288
33.69,-78.88,500.1,13.716
41.5634,-77.2279,10000.1,91.44
30.05,-81.37,0.1,22.86
39.02,-105.8,0.1,45.72
38.819,-77.1697,0.1,91.44
29.5,-81.14,0.1,22.86
42.0531,-71.6983,25000.1,182.88
42.167,-71.627,40000.1,91.44
42.9,-106.32,0.1,18.288
32.0644,-81.0287,0.1,91.44
26.4842,-97.722,0.1,22.86
39.608,-104.215,200000.1,45.72
39.407,-104.58,0.1,45.72
39.595,-103.968,100000.1,45.72
39.762,-103.94,0.1,45.72
39.7,-103.849,0.1,45.72
42.6452,-105.5134,0.1,320.04
42.5681,-105.4325,0.1,137.16
42.4329,-105.2829,0.1,45.72
41.1965,-103.65,0.1,68.58
40.63,-103.35,0.1,45.72
41.44,-104.35,0.1,68.58
43.3237,-102.1858,0.1,9.144
41.2073,-104.8065,0.1,45.72
40.83,-103.77,0.1,45.72
40.25,-103.6,0.1,68.58
40.27,-103.62,0.1,68.58
40.28,-103.61,0.1,45.72
37.1074,-97.199,0.1,91.44
43.5812,-97.047,0.1,22.86
43.51,-96.9,0.1,9.144
36.8742,-88.1665,0.1,18.288
40.513,-83.1153,25000.1,18.288
41.6219,-83.4714,150000.1,22.86
42.199,-83.2646,50000.1,91.44
33.6791,-83.6926,200000.1,91.44
34.269,-82.419,10000.1,27.432
37.9815,-78.5068,0.1,68.58
33.1037,-83.6601,15000.1,91.44
40.7845,-73.8443,10000.1,91.44
42.216,-74.503,0.1,61.2648
45.1407,-94.7912,200000.1,274.32
41.9982,-72.0377,0.1,7.3152
42.0456,-71.8907,5000000.1,274.32
43.7039,-98.7043,0.1,91.44
42.8801,-95.3517,0.1,22.86
43.276,-82.692,0.1,22.86
41.2449,-85.829,0.1,45.72
40.9933,-97.7701,25000.1,114.3
29.92,-93.88,0.1,9.144
45.71,-92.77,0.1,0.9144
30.04,-92.66,0.1,9.144
40.72,-104.09,0.1,45.72
36.531,-105.2861,300000.1,73.152
43.058,-89.0775,50000.1,22.86
32.2909,-101.5184,0.1,91.44
37.3168,-95.9237,0.1,45.72
40.5666,-86.9533,0.1,20.1168
40.4679,-90.2645,30000.1,91.44
33.5624,-116.6855,0.1,1.8288
41.98,-90.96,0.1,9.144
38.44,-99.01,0.1,45.72
32.4354,-90.1147,500000.1,228.6
35.11,-111.47,0.1,9.144
38.5868,-101.8573,0.1,22.86
37.66,-94.08,5000.1,45.72
37.15,-92.85,0.1,45.72
36.1307,-95.4613,35000.1,320.04
36.076,-95.44,30000.1,182.88
37.61,-94.43,10000.1,45.72
37.01,-94.17,20000.1,36.576
37.6311,-94.2574,0.1,22.86
37.6468,-94.2696,25000.1,91.44
37.6266,-94.1831,0.1,22.86
36.8815,-93.738,95000.1,91.44
41.9949,-90.5638,0.1,13.716
36.038,-90.622,500000.1,109.728
36.1866,-90.3432,50000.1,45.72
41.4267,-88.0027,0.1,91.44
45.6145,-113.4309,0.1,2.7432
42.6275,-88.6283,15000.1,137.16
41.234,-78.754,5000.1,274.32
44.7744,-99.5408,0.1,45.72
44.7872,-99.4686,0.1,64.008
47.46,-96.18,0.1,274.32
47.62,-95.72,0.1,182.88
48.12,-94.51,0.1,137.16
44.3406,-93.0498,0.1,91.44
44.4935,-92.7473,300000.1,137.16
44.0288,-90.4787,25000.1,137.16
